id,section_id,english,russian
1,5,I want it,Я хочу это
2,5,He has dollars,У него есть доллары
3,5,I understand you,Я понимаю тебя
4,5,I want more practice,Я хочу больше практики
5,5,She sees this mistake,Она видит эту ошибку
6,5,You know it,Ты знаешь это
7,5,She really remembers it,Она действительно помнит это
8,5,I see this mistake,Я вижу эту ошибку
9,5,This company has money,У этой компании есть деньги
10,5,She remember it,Она помнит это
11,1,I have a family,У меня есть семья
12,1,You always say it,Ты всегда говоришь это
13,1,They often go to the cinema,Они часто ходят в кино
14,1,We often do it,Мы часто делаем это
15,1,She sees this mistake,Она видит эту ошибку
16,1,He knows this thing,Он знает эту вещь
17,1,It looks so interesting,Это выглядит так интересно
18,4,My girlfriend feels happy,Моя девушка чувствует себя счастливой
19,4,My boyfriend loves me very much,Мой парень очень любит меня
20,4,My girlfriend loves me very much,Моя девушка очень любит меня
21,4,My friend always supports me,Мой друг всегда поддерживает меня
22,4,My friends sometimes say it,Мои друзья иногда говорят это
23,4,My best friend always helps me,Мой лучший друг всегда помогает мне
24,4,My teacher usually comes to work,Мой учитель обычно приходит на работу
25,4,My brother wants it,Мой брат хочет это
26,4,His father has a car,У его отца есть машина
27,4,My parents wants to do it,Мои родители хотят сделать это
28,4,Your lessons really help,Ваши уроки действительно помогают
29,4,My sister studies there,Моя сестра учится там
30,4,These lessons help me,Эти уроки помогают мне
31,4,They know everything,Они знают все
32,4,My brother tries to do it,Мой брат пытается сделать это
33,4,Their ideas seem very interesting,Их идеи кажутся очень интересными
34,4,My boss usually checks all the information,Мой начальник обычно проверяет всю информацию
35,5,She speaks English very well,Она говорит по-английски очень хорошо
36,5,My sister studies there,Мои друзья учатся там
37,5,I see these mistakes,Я вижу эти ошибки
38,5,He helps me,Он помогает мне
39,5,I have a brother,У меня есть брат
40,5,She has a car,У нее есть машина
41,5,My sister lives in this place,Моя сестра живет в этом месте
42,5,It helps me ,Это помогает мне
43,5,Your lessons really help,Ваши уроки действительно помогают
44,5,You speak English very well,Вы говорите по-английски очень хорошо
45,5,We want it,Мы хотим это
46,5,My friend thinks the same,Мой друг думает так же
47,5,He misses you,Он скучает по тебе
48,5,He has a dog,У него есть собака
49,5,She reads English books,Она читает английские книги
50,5,We live here,Мы живем здесь
51,5,It looks strange,Это выглядит странно
52,5,He has a house,У него есть дом
53,5,I study there,Я учусь там
54,5,I study here,Я учусь здесь
55,5,He lives in this house,Он живет в этом доме
56,5,They know everything,Они знают все
57,5,I know it,Я знаю это
58,5,She tries to learn English,Она пытается выучить английский
59,5,We live in this country,Мы живем в этой стране
60,5,We live in Russia,Мы живем в России
61,5,You help me,Ты помогаешь мне
62,5,I live in this city,Я живу в этом городе
63,5,They sometimes play computer games,Они иногда играют в компьютерные игры
64,5,I understand that person,Я понимаю этого человека
65,5,He tries to help me,Он пытается помочь мне
66,5,I go to work,Я иду на работу
67,5,I have a car,У меня есть машина
68,5,Their offer seems really strange,Их предложение кажется действительно странным
69,5,He teaches English,Он преподает английский
70,5,We often do it,Мы часто делаем это
71,5,I understand you very well,Я понимаю тебя очень хорошо
72,5,She lives in that city,Она живет в том городе
73,5,He knows it,Он знает это
74,5,She has a cat,У нее есть кот
75,5,This offer looks interesting,Это предложение выглядит интересным
76,5,They go to school,Они ходят в школу
77,5,He reads in English,Он читает на английском
78,5,We think so,Мы думаем так
79,5,She feels happy,Она чувствует себя счастливой
80,5,I see it,Я вижу это
81,5,I know it very well,Я знаю это очень хорошо
82,5,I have an idea,У меня есть идея
83,5,My boss reads all the documents,Мой начальник читает все документы
84,5,He tries to find a job,Он пытается найти работу
85,5,They study very hard,Они учатся очень усердно
86,5,These lessons help me,Эти уроки помогают мне
87,5,He has money,У него есть деньги
88,5,I live in Russia,Я живу в России
89,5,You work very hard,Ты очень много работаешь
90,5,He sometimes plays computer games,Иногда он играет в компьютерные игры
91,5,Her brother often says it,Ее брат часто говорит это
92,5,My parents know it,Мои родители знают это
93,5,My friend has a car,У моего друга есть машина
94,5,His father has a car,У его отца есть машина
95,5,I feel happy,Я чувствую себя счастливым
96,5,He wants more practice,Он хочет больше практики
97,5,It really happens,Это действительно случается
98,5,We understand you,Мы понимаем тебя
99,5,He often goes to the cinema,Он часто ходит в кино
100,5,He also remembers it,Он также помнит это
101,5,He does it every day,Он делает это каждый день
102,5,I remember it,Я помню это
103,5,My boss always says it,Мой начальник всегда говорит это
104,5,He lives there,Он живет там
105,5,These lessons really help,Эти уроки реально помогают
106,5,I fill it,Я чувствую это
107,5,It happens,Это случается
108,5,He also works here,Он также работает здесь
109,5,I go to school,Я хожу  в школу
110,5,Our mother thinks the same,Наша мама думает тоже самое
111,5,Our mother also thinks so,Наша мама тоже так думает
112,5,He wants to do it,Он хочет сделать это
113,5,She feels so happy,Она чувстует себя очень счастливой
114,5,I understand,Я понимаю
115,5,I have a sister,У меня есть сестра
116,5,He has an idea,У него есть идея
117,5,She has interesting ideas,У нее есть интересные идеи
118,5,I see everything,Я вижу все
119,5,She works very hard,Она очень усердно работает
120,5,My boss usually checks all the information,Мой начальник обычно проверяет всю информацию
121,5,I love you,Я люблю тебя
122,5,These lessons seem very useful,Эти уроки кажутся очень полезными
123,5,They help me,Они помогают мне
124,5,I speak English,Я говорю по-английски
125,5,He sometmes want to to it,Он иногда хочет сделать это
126,5,I understand everything,Я понимаю все
127,5,She lives in this place,Она живет в этом месте
128,5,I read in English,Я читаю по-английски
129,5,He says interesting thing,Он говорит интересную вещь
130,5,I know this word,Я знаю это слово
